iter	Passed	Remaining
955	27387	1260
956	27408	1231
957	27429	1202
958	27452	1173
959	27474	1144
960	27491	1115
961	27511	1086
962	27535	1057
963	27554	1029
964	27577	1000
965	27595	971
966	27614	942
967	27636	913
968	27655	884
969	27674	855
970	27693	827
971	27712	798
972	27732	769
973	27751	740
974	27772	712
975	27790	683
976	27809	654
977	27828	625
978	27849	597
979	27867	568
980	27887	540
981	27906	511
982	27925	482
983	27945	454
984	27965	425
985	27989	397
986	28009	368
987	28027	340
988	28045	311
989	28064	283
990	28085	255
991	28104	226
992	28122	198
993	28140	169
994	28158	141
995	28182	113
996	28204	84
997	28223	56
998	28242	28
999	28262	0
